Class,Scientific_name,Common_name
reptiles,Elseya irwini,Irwin's turtle
reptiles,Elseya irwini (Johnstone),Johnstone River snapping turtle
reptiles,Elseya lavarackorum,Gulf snapping turtle
reptiles,Elusor macrurus,Mary River turtle
reptiles,Emydura macquarii emmotti,Emmott's short-neck turtle
reptiles,Emydura macquarii krefftii,Krefft's river turtle
reptiles,Emydura macquarii macquarii,Murray turtle
reptiles,Emydura macquarii nigra,Fraser Island short-neck turtle
reptiles,Emydura subglobosa subglobosa,Jardine River turtle
reptiles,Emydura subglobosa worrelli,diamond head turtle
reptiles,Emydura tanybaraga,northern yellow-faced turtle
reptiles,Rheodytes leukops,Fitzroy River turtle
reptiles,Wollumbinia belli,Bell's turtle
reptiles,Wollumbinia latisternum,saw-shelled turtle
reptiles,Cyrtodactylus adorus,Pascoe River ring-tailed gecko
reptiles,Cyrtodactylus hoskini,Hoskin's ring-tailed gecko
reptiles,Cyrtodactylus mcdonaldi,McDonald's ring-tailed gecko
reptiles,Cyrtodactylus pronarus,McIlwraith ring-tailed gecko
reptiles,Cyrtodactylus tuberculatus,tuberculated ring-tailed gecko
reptiles,Gehyra australis,northern dtella
reptiles,Gehyra baliola,short-tailed dtella
reptiles,Gehyra borroloola,Borroloola dtella
reptiles,Gehyra catenata,chain-backed dtella
reptiles,Gehyra dubia,dubious dtella
reptiles,Gehyra einasleighensis,Einasleigh rock dtella
reptiles,Gehyra mutilata,skin-shedding dtella
reptiles,Gehyra nana,northern spotted rock dtella
reptiles,Gehyra oceanica,oceanic gecko
reptiles,Gehyra purpurascens,purplish dtella
reptiles,Gehyra robusta,robust dtella
reptiles,Gehyra versicolor,
reptiles,Hemidactylus frenatus,house gecko
reptiles,Heteronotia binoei,Bynoe's gecko
reptiles,Lepidodactylus lugubris,mourning gecko
reptiles,Lepidodactylus pumilus,slender chained gecko
reptiles,Nactus cheverti,Chevert gecko
reptiles,Nactus eboracensis,Cape York bent-toed gecko
reptiles,Nactus galgajuga,Black Mountain gecko
reptiles,Amalosia jacovae,clouded gecko
reptiles,Amalosia lesueurii,Lesueur's velvet gecko
reptiles,Amalosia rhombifer,zig-zag gecko
reptiles,Crenadactylus naso,northern clawless geckos
reptiles,Diplodactylus ameyi,eastern deserts fat-tailed gecko
reptiles,Diplodactylus barraganae,Gulf fat-tailed gecko
reptiles,Diplodactylus conspicillatus,variable fat-tailed gecko
reptiles,Diplodactylus laevis,desert fat-tailed gecko
reptiles,Diplodactylus platyurus,eastern fat-tailed gecko
reptiles,Diplodactylus tessellatus,tessellated gecko
reptiles,Diplodactylus vittatus,wood gecko
reptiles,Lucasium byrnei,Byrne's gecko
reptiles,Lucasium damaeum,beaded gecko
reptiles,Lucasium immaculatum,pale-striped ground gecko
reptiles,Lucasium steindachneri,Steindachner's gecko
reptiles,Lucasium stenodactylum,crowned gecko
reptiles,Nebulifera robusta,robust velvet gecko
reptiles,Oedura bella,Gulf marbled velvet gecko
reptiles,Oedura castelnaui,northern velvet gecko
reptiles,Oedura cincta,inland marbled velvet gecko
reptiles,Oedura coggeri,northern spotted velvet gecko
reptiles,Oedura jowalbinna,Quinkan velvet gecko
reptiles,Oedura monilis,ocellated velvet gecko
reptiles,Oedura tryoni,southern spotted velvet gecko
reptiles,Pseudothecadactylus australis,giant tree gecko
reptiles,Rhynchoedura angusta,border beaked gecko
reptiles,Rhynchoedura eyrensis,Eyre Basin beaked gecko
reptiles,Rhynchoedura mentalis,brigalow beaked gecko
reptiles,Rhynchoedura ormsbyi,eastern beaked gecko
reptiles,Strophurus ciliaris,spiny-tailed gecko
reptiles,Strophurus congoo,
reptiles,Strophurus elderi,jewelled gecko
reptiles,Strophurus krisalys,Kristin's spiny-tailed gecko
reptiles,Strophurus taeniatus,white-striped gecko
reptiles,Strophurus taenicauda,golden-tailed gecko
reptiles,Strophurus williamsi,soft-spined gecko
reptiles,Carphodactylus laevis,chameleon gecko
reptiles,Nephrurus asper,spiny knob-tailed gecko
reptiles,Nephrurus levis,three-lined knob-tail
reptiles,Orraya occultus,McIlwraith leaf-tailed gecko
reptiles,Phyllurus amnicola,Mount Elliot broad-tailed gecko
reptiles,Phyllurus caudiannulatus,ringed thin-tailed gecko
reptiles,Phyllurus championae,Connors' Range broad-tailed gecko
reptiles,Phyllurus gulbaru,Gulbaru gecko
reptiles,Phyllurus isis,Mount Jukes broad-tailed gecko
reptiles,Phyllurus kabikabi,Gympie broad-tailed gecko
reptiles,Phyllurus nepthys,peppered-belly broad-tailed gecko
reptiles,Phyllurus ossa,Mount Ossa broad-tailed gecko
reptiles,Saltuarius cornutus,northern leaf-tailed gecko
reptiles,Saltuarius eximius,Cape Melville leaf-tailed gecko
reptiles,Saltuarius salebrosus,rough-throated leaf-tailed gecko
reptiles,Saltuarius swaini,southern leaf-tailed gecko
reptiles,Saltuarius wyberba,granite leaf-tailed gecko
reptiles,Underwoodisaurus milii,thick-tailed gecko
reptiles,Uvidicolus sphyrurus,border thick-tailed gecko
reptiles,Delma borea,rusty-topped delma
reptiles,Delma butleri,unbanded delma
reptiles,Delma inornata,patternless delma
reptiles,Delma labialis,striped-tailed delma
reptiles,Delma mitella,Atherton delma
reptiles,Delma nasuta,sharp-snouted legless lizard
reptiles,Delma plebeia,common delma
reptiles,Delma tincta,excitable delma
reptiles,Delma torquata,collared delma
reptiles,Lialis burtonis,Burton's legless lizard
reptiles,Paradelma orientalis,brigalow scaly-foot
reptiles,Pygopus lepidopodus,common scaly-foot
reptiles,Pygopus nigriceps,hooded scaly-foot
reptiles,Pygopus robertsi,Cape York scaly-foot
reptiles,Pygopus schraderi,eastern hooded scaly-foot
reptiles,Pygopus steelescotti,northern hooded scaly-foot
reptiles,Amphibolurus burnsi,Burns's dragon
reptiles,Amphibolurus centralis,centralian lashtail dragon
reptiles,Amphibolurus gilberti,Gilbert's dragon
reptiles,Amphibolurus longirostris,long-nosed dragon
reptiles,Amphibolurus muricatus,jacky lizard
reptiles,Amphibolurus temporalis,swamplands lashtail
reptiles,Chelosania brunnea,chameleon dragon
reptiles,Chlamydosaurus kingii,frilled lizard
reptiles,Ctenophorus caudicinctus,ring-tailed dragon
reptiles,Ctenophorus fordi,mallee dragon
reptiles,Ctenophorus isolepis,military dragon
reptiles,Ctenophorus nuchalis,central netted dragon
reptiles,Ctenophorus pictus,painted dragon
reptiles,Diporiphora ameliae,Amelia's two-lined dragon
reptiles,Diporiphora australis,tommy roundhead
reptiles,Diporiphora bilineata,two-lined dragon
reptiles,Diporiphora lalliae,Lally's two-line dragon
reptiles,Diporiphora magna,yellow-sided two-lined dragon
reptiles,Diporiphora nobbi,nobbi
reptiles,Diporiphora phaeospinosa,brigalow nobbi
reptiles,Diporiphora winneckei,canegrass dragon
reptiles,Intellagama lesueurii,eastern water dragon
reptiles,Lophosaurus boydii,Boyd's forest dragon
reptiles,Lophosaurus spinipes,southern angle-headed dragon
reptiles,Moloch horridus,thorny devil
reptiles,Pogona barbata,bearded dragon
reptiles,Pogona henrylawsoni,downs bearded dragon
reptiles,Pogona vitticeps,central bearded dragon
reptiles,Tympanocryptis condaminensis,Condamine earless dragon
reptiles,Tympanocryptis intima,gibber earless dragon
reptiles,Tympanocryptis lineata,lined earless dragon
reptiles,Tympanocryptis pentalineata,five-lined earless dragon
reptiles,Tympanocryptis tetraporophora,Eyrean earless dragon
reptiles,Tympanocryptis wilsoni,Roma earless dragon
reptiles,Varanus acanthurus,ridge-tailed monitor
reptiles,Varanus brevicauda,short-tailed pygmy monitor
reptiles,Varanus doreanus,blue-tailed monitor
reptiles,Varanus eremius,rusty desert monitor
reptiles,Varanus giganteus,perentie
reptiles,Varanus gilleni,pygmy mulga monitor
reptiles,Varanus glebopalma,long-tailed rock monitor
reptiles,Varanus gouldii,sand monitor
reptiles,Varanus indicus,mangrove monitor
reptiles,Varanus keithhornei,canopy goanna
reptiles,Varanus mertensi,Mertens' water monitor
reptiles,Varanus mitchelli,Mitchell's water monitor
reptiles,Varanus panoptes,yellow-spotted monitor
reptiles,Varanus prasinus,emerald monitor
reptiles,Varanus scalaris,spotted tree monitor
reptiles,Varanus semiremex,rusty monitor
reptiles,Varanus spenceri,Spencer's monitor
reptiles,Varanus storri,Storr's monitor
reptiles,Varanus tristis,black-tailed monitor
reptiles,Varanus varius,lace monitor
reptiles,Acritoscincus platynotum,red-throated skink
reptiles,Anomalopus brevicollis,short-necked worm-skink
reptiles,Anomalopus gowi,speckled worm-skink
reptiles,Anomalopus leuckartii,two-clawed worm-skink
reptiles,Anomalopus mackayi,long-legged worm-skink
reptiles,Anomalopus pluto,Cape York worm-skink
reptiles,Anomalopus verreauxii,three-clawed worm-skink
reptiles,Bellatorias frerei,major skink
reptiles,Bellatorias major,land mullet
reptiles,Calyptotis lepidorostrum,cone-eared calyptotis
reptiles,Calyptotis scutirostrum,scute-snouted calyptotis
reptiles,Calyptotis temporalis,broad-templed calyptotis
reptiles,Calyptotis thorntonensis,Thornton Peak calyptotis
reptiles,Carlia amax,bauxite rainbow-skink
reptiles,Carlia decora,elegant rainbow skink
reptiles,Carlia dogare,sandy rainbow-skink
reptiles,Carlia inconnexa,Whitsunday rainbow skink
reptiles,Carlia jarnoldae,lined rainbow-skink
reptiles,Carlia longipes,closed-litter rainbow-skink
reptiles,Carlia munda,shaded-litter rainbow-skink
reptiles,Carlia pectoralis,open-litter rainbow skink
reptiles,Carlia quinquecarinata,Eastern Torres rainbow-skink
reptiles,Carlia rhomboidalis,blue-throated rainbow-skink
reptiles,Carlia rimula,crevice rainbow-skink
reptiles,Carlia rostralis,black-throated rainbow-skink
reptiles,Carlia rubigo,orange-flanked rainbow skink
reptiles,Carlia rubrigularis,red-throated rainbow-skink
reptiles,Carlia schmeltzii,robust rainbow-skink
reptiles,Carlia sexdentata,Macleay's rainbow-skink
reptiles,Carlia storri,Storr's rainbow-skink
reptiles,Carlia tetradactyla,southern rainbow-skink
reptiles,Carlia vivax,tussock rainbow-skink
reptiles,Carlia wundalthini,Cape Melville rainbow skink
reptiles,Coeranoscincus frontalis,limbless snake-tooth skink
reptiles,Coeranoscincus reticulatus,three-toed snake-tooth skink
reptiles,Coggeria naufragus,satinay sand skink
reptiles,Concinnia amplus,lemon-barred forest-skink
reptiles,Concinnia brachysoma,northern bar-sided skink
reptiles,Concinnia frerei,Bartle Frere bar-sided skink
reptiles,Concinnia martini,dark bar-sided skink
reptiles,Concinnia sokosoma,stout bar-sided skink
reptiles,Concinnia tenuis,bar-sided skink
reptiles,Concinnia tigrina,yellow-blotched forest-skink
reptiles,Cryptoblepharus adamsi,Adams' snake-eyed skink
reptiles,Cryptoblepharus australis,inland snake-eyed skink
reptiles,Cryptoblepharus fuhni,Fuhn's snake-eyed skink
reptiles,Cryptoblepharus litoralis litoralis,coastal snake-eyed skink
reptiles,Cryptoblepharus metallicus,metallic snake-eyed skink
reptiles,Cryptoblepharus pannosus,ragged snake-eyed skink
reptiles,Cryptoblepharus pulcher pulcher,elegant snake-eyed skink
reptiles,Cryptoblepharus tytthos,pygmy snake-eyed skink
reptiles,Cryptoblepharus virgatus,striped snake-eyed skink
reptiles,Cryptoblepharus zoticus,agile snake-eyed skink
reptiles,Ctenotus agrestis,grassplains ctenotus
reptiles,Ctenotus alacer,lively ctenotus
reptiles,Ctenotus allotropis,brown-blazed wedgesnout ctenotus
reptiles,Ctenotus arcanus,arcane ctenotus
reptiles,Ctenotus ariadnae,Ariadna's ctenotus
reptiles,Ctenotus astarte,stony downs ctenotus
reptiles,Ctenotus brevipes,short-footed ctenotus
reptiles,Ctenotus calurus,blue-tailed finesnout ctenotus
reptiles,Ctenotus capricorni,Capricorn ctenotus
reptiles,Ctenotus decaneurus,ten-lined ctenotus
reptiles,Ctenotus dux,fine side-lined ctenotus
reptiles,Ctenotus eurydice,brown-backed yellow-lined ctenotus
reptiles,Ctenotus eutaenius,black-backed yellow-lined ctenotus
reptiles,Ctenotus hebetior,stout ctenotus
reptiles,Ctenotus ingrami,unspotted yellow-sided ctenotus
reptiles,Ctenotus inornatus,bar-shouldered ctenotus
reptiles,Ctenotus joanae,black-soil ctenotus
reptiles,Ctenotus lateralis,gravelly-soil ctenotus
reptiles,Ctenotus leae,orange-tailed finesnout ctenotus
reptiles,Ctenotus leonhardii,Leonhardi's ctenotus
reptiles,Ctenotus monticola,Atherton ctenotus
reptiles,Ctenotus nullum,nullum ctenotus
reptiles,Ctenotus olympicus,Olympic ctenotus
reptiles,Ctenotus pantherinus,leopard ctenotus
reptiles,Ctenotus piankai,coarse sands ctenotus
reptiles,Ctenotus pulchellus,red-sided ctenotus
reptiles,Ctenotus quinkan,Quinkan ctenotus
reptiles,Ctenotus rawlinsoni,Cape heath ctenotus
reptiles,Ctenotus regius,pale-rumped ctenotus
reptiles,Ctenotus rosarium,rosy ctenotus
reptiles,Ctenotus schevilli,Scheville's ctenotus
reptiles,Ctenotus schomburgkii,Schomburgk's ctenotus
reptiles,Ctenotus septenarius,massive-gibber ctenotus
reptiles,Ctenotus serotinus,gravel-downs ctenotus
reptiles,Ctenotus spaldingi,straight-browed ctenotus
reptiles,Ctenotus strauchii,eastern barred wedgesnout ctenotus
reptiles,Ctenotus striaticeps,stripe-headed finesnout ctenotus
reptiles,Ctenotus taeniatus,ribbon ctenotus
reptiles,Ctenotus taeniolatus,copper-tailed skink
reptiles,Ctenotus terrareginae,Hinchinbrook ctenotus
reptiles,Ctenotus zebrilla,Southern Cape York finesnout ctenotus
reptiles,Cyclodomorphus gerrardii,pink-tongued lizard
reptiles,Cyclodomorphus melanops,spinifex slender bluetongue
reptiles,Cyclodomorphus venustus,saltbush slender bluetongue
reptiles,Egernia cunninghami,Cunningham's skink
reptiles,Egernia hosmeri,Hosmer's skink
reptiles,Egernia mcpheei,eastern crevice-skink
reptiles,Egernia rugosa,yakka skink
reptiles,Egernia stokesii,gidgee skink
reptiles,Egernia striolata,tree skink
reptiles,Emoia atrocostata atrocostata,littoral whiptail-skink
reptiles,Emoia atrocostata australis,littoral whiptail-skink
reptiles,Emoia longicauda,shrub whiptail-skink
reptiles,Eremiascincus fasciolatus,narrow-banded sand swimmer
reptiles,Eremiascincus isolepis,northern bar-lipped skink
reptiles,Eremiascincus pardalis,lowlands bar-lipped skink
reptiles,Eremiascincus phantasmus,ghost skink
reptiles,Eremiascincus richardsonii,broad-banded sand swimmer
reptiles,Eroticoscincus graciloides,elf skink
reptiles,Eugongylus rufescens,bar-lipped sheen-skink
reptiles,Eulamprus kosciuskoi,alpine water skink
reptiles,Eulamprus quoyii,eastern water skink
reptiles,Glaphyromorphus clandestinus,Mt Elliot skink
reptiles,Glaphyromorphus cracens,slender mulch-skink
reptiles,Glaphyromorphus crassicaudus,Cape York mulch-skink
reptiles,Glaphyromorphus fuscicaudis,brown-tailed bar-lipped skink
reptiles,Glaphyromorphus mjobergi,Atherton Tableland mulch-skink
reptiles,Glaphyromorphus nigricaudis,black-tailed bar-lipped skink
reptiles,Glaphyromorphus nyanchupinta,McIlwraith bar-lipped skink
reptiles,Glaphyromorphus othelarrni,Cape Melville bar-lipped skink
reptiles,Glaphyromorphus pumilus,dwarf mulch-skink
reptiles,Glaphyromorphus punctulatus,fine-spotted mulch-skink
reptiles,Gnypetoscincus queenslandiae,prickly forest skink
reptiles,Harrisoniascincus zia,rainforest cool-skink
reptiles,Karma murrayi,Murray's skink
reptiles,Karma tryoni,Tryon's skink
reptiles,Lampropholis adonis,diamond-shielded sunskink
reptiles,Lampropholis amicula,friendly sunskink
reptiles,Lampropholis coggeri,rainforest sunskink
reptiles,Lampropholis colossus,Bunya sunskink
reptiles,Lampropholis couperi,plain-backed sunskink
reptiles,Lampropholis delicata,dark-flecked garden sunskink
reptiles,Lampropholis guichenoti,pale-flecked garden sunskink
reptiles,Lampropholis mirabilis,saxicoline sunskink
reptiles,Lampropholis robertsi,grey-bellied sunskink
reptiles,Lerista aericeps,desert plain slider
reptiles,Lerista allanae,Allan's lerista
reptiles,Lerista ameles,limbless fine-lined slider
reptiles,Lerista bipes,north-western sandslider
reptiles,Lerista chordae,fine-lined slider
reptiles,Lerista cinerea,vine-thicket fine-lined slider
reptiles,Lerista colliveri,nubbined fine-lined slider
reptiles,Lerista desertorum,Central Deserts robust slider
reptiles,Lerista emmotti,Noonbah robust slider
reptiles,Lerista fragilis,eastern mulch slider
reptiles,Lerista hobsoni,Hobson's fine-line slider
reptiles,Lerista ingrami,Ingram's lerista
reptiles,Lerista karlschmidti,lesser robust fine-lined slider
reptiles,Lerista labialis,southern sandslider
reptiles,Lerista orientalis,north-eastern orange-tailed slider
reptiles,Lerista punctatovittata,eastern robust slider
reptiles,Lerista rochfordensis,Rochford slider
reptiles,Lerista storri,Chillagoe fine-lined slider
reptiles,Lerista timida,timid slider
reptiles,Lerista vanderduysi,leaden-bellied fine-line slider
reptiles,Lerista vittata,Mount Cooper striped lerista
reptiles,Lerista wilkinsi,two-toed fine-lined slider
reptiles,Lerista xanthura,yellow-tailed plain slider
reptiles,Lerista zonulata,girdled slider
reptiles,Liburnascincus artemis,Bamboo Range rock skink
reptiles,Liburnascincus coensis,Coen rainbow-skink
reptiles,Liburnascincus mundivensis,outcrop rainbow-skink
reptiles,Liburnascincus scirtetis,Black Mountain rainbow-skink
reptiles,Liopholis inornata,desert skink
reptiles,Liopholis modesta,eastern ranges rock-skink
reptiles,Liopholis whitii,White's skink
reptiles,Lygisaurus abscondita,Mt Surprise litter-skink
reptiles,Lygisaurus aeratus,large-disced litter-skink
reptiles,Lygisaurus foliorum,tree-base litter-skink
reptiles,Lygisaurus laevis,rainforest edge litter-skink
reptiles,Lygisaurus macfarlani,translucent litter-skink
reptiles,Lygisaurus malleolus,firedart litter-skink
reptiles,Lygisaurus parrhasius,fire-tailed rainbow-skink
reptiles,Lygisaurus rococo,Chillagoe litter-skink
reptiles,Lygisaurus sesbrauna,Eastern Cape litter-skink
reptiles,Lygisaurus tanneri,Endeavour River litter-skink
reptiles,Lygisaurus zuma,sun-loving litter-skink
reptiles,Magmellia luteilateralis,orange-speckled forest-skink
reptiles,Menetia greyii,common dwarf skink
reptiles,Menetia maini,northern dwarf skink
reptiles,Morethia adelaidensis,saltbush morethia skink
reptiles,Morethia boulengeri,south-eastern morethia skink
reptiles,Morethia ruficauda,lined firetail skink
reptiles,Morethia storri,Top End firetail skink
reptiles,Morethia taeniopleura,fire-tailed skink
reptiles,Nangura spinosa,Nangur skink
reptiles,Notoscincus ornatus,ornate soil-crevice skink
reptiles,Ophioscincus cooloolensis,Cooloola snake-skink
reptiles,Ophioscincus ophioscincus,yolk-bellied snake-skink
reptiles,Ophioscincus truncatus,short-limbed snake-skink
reptiles,Proablepharus barrylyoni,Lyon's soil-crevice skink
reptiles,Proablepharus kinghorni,red-tailed soil-crevice skink
reptiles,Proablepharus tenuis,northern soil-crevice skink
reptiles,Pygmaeascincus koshlandae,fine-browed dwarf skink
reptiles,Pygmaeascincus sadlieri,Magnetic Island dwarf skink
reptiles,Pygmaeascincus timlowi,dwarf litter-skink
reptiles,Saiphos equalis,three-toed skink
reptiles,Saproscincus basiliscus,basilisk shadeskink
reptiles,Saproscincus challengeri,orange-tailed shadeskink
reptiles,Saproscincus czechurai,wedge-snouted shadeskink
reptiles,Saproscincus eungellensis,Eungella shadeskink
reptiles,Saproscincus hannahae,Hannah's shadeskink
reptiles,Saproscincus lewisi,Cooktown shadeskink
reptiles,Saproscincus oriarus,heath shadeskink
reptiles,Saproscincus rosei,Rose's shadeskink
reptiles,Saproscincus saltus,Cape Melville shade skink
reptiles,Saproscincus spectabilis,pale-lipped shadeskink
reptiles,Saproscincus tetradactylus,four-fingered shadeskink
reptiles,Techmarscincus jigurru,Bartle Frere cool-skink
reptiles,Tiliqua multifasciata,Centralian blue-tongued lizard
reptiles,Tiliqua rugosa,shingle-back
reptiles,Tiliqua scincoides,eastern blue-tongued lizard
reptiles,Anilios affinis,small-headed blind snake
reptiles,Anilios aspina,round-tailed blind snake
reptiles,Anilios australis,southern blind snake
reptiles,Anilios bituberculatus,prong-snouted blind snake
reptiles,Anilios broomi,faint-striped blind snake
reptiles,Anilios chamodracaena,Cape York striped blind snake
reptiles,Anilios diversus,northern blind snake
reptiles,Anilios endoterus,interior blind snake
reptiles,Anilios grypus,long-beaked blind snake
reptiles,Anilios insperatus,Fassifern blind snake
reptiles,Anilios leucoproctus,Cape York blind snake
reptiles,Anilios ligatus,robust blind snake
reptiles,Anilios nigrescens,blackish blind snake
reptiles,Anilios proximus,proximus blind snake
reptiles,Anilios robertsi,Roberts' blind snake
reptiles,Anilios silvia,striped blind snake
reptiles,Anilios torresianus,north-eastern blind snake
reptiles,Anilios unguirostris,claw-snouted blind snake
reptiles,Anilios wiedii,brown-snouted blind snake
reptiles,Indotyphlops braminus,flowerpot blind snake
reptiles,Antaresia childreni,children's python
reptiles,Antaresia maculosa,spotted python
reptiles,Antaresia stimsoni,Stimson's python
reptiles,Aspidites melanocephalus,black-headed python
reptiles,Aspidites ramsayi,woma
reptiles,Leiopython hoserae,white-lipped python
reptiles,Liasis mackloti,water python
reptiles,Liasis olivaceus,olive python
reptiles,Morelia spilota,carpet python
reptiles,Morelia viridis,green python
reptiles,Simalia amethistina,amethystine python (New Guinean form)
reptiles,Simalia kinghorni,amethystine python (Australian form)
reptiles,Acrochordus arafurae,Arafura file snake
reptiles,Acrochordus granulatus,little file snake
reptiles,Boiga irregularis,brown tree snake
reptiles,Cerberus australis,bockadam
reptiles,Dendrelaphis calligastra,northern tree snake
reptiles,Dendrelaphis punctulatus,green tree snake
reptiles,Fordonia leucobalia,white-bellied mangrove snake
reptiles,Myron richardsonii,Richardson's mangrove snake
reptiles,Pseudoferania polylepis,Macleay's water snake
reptiles,Stegonotus cucullatus,slaty-grey snake
reptiles,Stegonotus parvus,slate-brown snake
reptiles,Tropidonophis mairii,freshwater snake
reptiles,Acanthophis antarcticus,common death adder
reptiles,Acanthophis hawkei,plains death adder
reptiles,Acanthophis praelongus,northern death adder
reptiles,Acanthophis pyrrhus,desert death adder
reptiles,Acanthophis rugosus,Papuan death adder
reptiles,Aipysurus duboisii,Dubois's sea snake
reptiles,Aipysurus laevis,olive sea snake
reptiles,Aipysurus mosaicus,mosaic sea snake
reptiles,Antaioserpens albiceps,north-eastern plain-nosed burrowing snake
reptiles,Antaioserpens warro,Warrego burrowing snake
reptiles,Brachyurophis australis,coral snake
reptiles,Brachyurophis fasciolatus,narrow-banded snake
reptiles,Brachyurophis incinctus,unbanded shovel-nosed snake
reptiles,Brachyurophis semifasciatus,half-girdled snake
reptiles,Cacophis churchilli,northern dwarf crowned snake
reptiles,Cacophis harriettae,white-crowned snake
reptiles,Cacophis krefftii,dwarf crowned snake
reptiles,Cacophis squamulosus,golden crowned snake
reptiles,Cryptophis boschmai,Carpentaria whip snake
reptiles,Cryptophis incredibilis,pink snake
reptiles,Cryptophis nigrescens,eastern small-eyed snake
reptiles,Cryptophis nigrostriatus,black-striped snake
reptiles,Demansia flagellatio,long-tailed whipsnake
reptiles,Demansia papuensis,greater black whipsnake
reptiles,Demansia psammophis,yellow-faced whipsnake
reptiles,Demansia quaesitor,sombre whipsnake
reptiles,Demansia rimicola,soil-crack whipsnake
reptiles,Demansia torquata,collared whipsnake
reptiles,Demansia vestigiata,lesser black whipsnake
reptiles,Denisonia devisi,De Vis' banded snake
reptiles,Denisonia maculata,ornamental snake
reptiles,Emydocephalus annulatus,turtle-headed sea snake
reptiles,Furina barnardi,yellow-naped snake
reptiles,Furina diadema,red-naped snake
reptiles,Furina dunmalli,Dunmall's snake
reptiles,Furina ornata,orange-naped snake
reptiles,Furina tristis,brown-headed snake
reptiles,Hemiaspis damelii,grey snake
reptiles,Hemiaspis signata,black-bellied swamp snake
reptiles,Hoplocephalus bitorquatus,pale-headed snake
reptiles,Hoplocephalus stephensii,Stephens' banded snake
reptiles,Hydrelaps darwiniensis,black-ringed mangrove sea snake
reptiles,Hydrophis caerulescens,dwarf sea snake
reptiles,Hydrophis coggeri,slender-necked sea snake
reptiles,Hydrophis curtus,spine-bellied sea snake
reptiles,Hydrophis donaldi,rough scaled sea snake
reptiles,Hydrophis elegans,elegant sea snake
reptiles,Hydrophis kingii,spectacled sea snake
reptiles,Hydrophis macdowelli,small-headed sea snake
reptiles,Hydrophis major,olive-headed sea snake
reptiles,Hydrophis melanosoma,black-banded robust sea snake
reptiles,Hydrophis ornatus,spotted sea snake
reptiles,Hydrophis pacificus,Pacific sea snake
reptiles,Hydrophis peronii,horned sea snake
reptiles,Hydrophis platurus,yellow-bellied sea snake
reptiles,Hydrophis stokesii,Stokes's sea snake
reptiles,Hydrophis vorisi,plain-banded sea snake
reptiles,Hydrophis zweifeli,Australian beaked sea snake
reptiles,Microcephalophis gracilis,slender sea snake
reptiles,Notechis scutatus,eastern tiger snake
reptiles,Oxyuranus microlepidotus,western taipan
reptiles,Oxyuranus scutellatus,coastal taipan
reptiles,Parahydrophis mertoni,northern mangrove sea snake
reptiles,Parasuta dwyeri,Dwyer's snake
reptiles,Pseudechis australis,king brown snake
reptiles,Pseudechis colletti,Collett's snake
reptiles,Pseudechis guttatus,spotted black snake
reptiles,Pseudechis pailsi,eastern dwarf mulga snake
reptiles,Pseudechis papuanus,Papuan black snake
reptiles,Pseudechis porphyriacus,red-bellied black snake
reptiles,Pseudonaja aspidorhyncha,strap-snouted brown snake
reptiles,Pseudonaja guttata,speckled brown snake
reptiles,Pseudonaja ingrami,Ingram's brown snake
reptiles,Pseudonaja mengdeni,Mengden's brown snake
reptiles,Pseudonaja modesta,ringed brown snake
reptiles,Pseudonaja nuchalis,western brown snake
reptiles,Pseudonaja textilis,eastern brown snake
reptiles,Suta punctata,little spotted snake
reptiles,Suta suta,myall snake
reptiles,Tropidechis carinatus,rough-scaled snake
reptiles,Vermicella annulata,bandy-bandy
snails,Turbo imperialis,
snails,Turbo marmoratus,green snail
snails,Turbo petholatus,
snails,Adusta subviridis,
snails,Bistolida brevidentata,
snails,Bistolida stolida,
snails,Cassis cornuta,
snails,Contradusta walkeri,
snails,Erronea hungerfordi,
snails,Erronea xanthodon,
snails,Ficadusta pyriformis,
snails,Lyncina porteri,
snails,Charonia tritonis,trumpet triton
snails,Edgbastonia alanwillsi,
snails,Fluvidona anodonta,
snails,Gabbia fontana,
snails,Jardinella acuminata,
snails,Jardinella carnarvonensis,
snails,Jardinella colmani,
snails,Jardinella coreena,
snails,Jardinella corrugata,
snails,Jardinella edgbastonensis,
snails,Jardinella eulo,
snails,Jardinella exigua,
snails,Jardinella isolata,
snails,Jardinella jesswiseae,
snails,Jardinella pallida,
snails,Jardinella zeidlerorum,
snails,Lambis lambis,common spider conch
snails,Lambis truncata,giant spider conch
snails,Strombus luhuanus,
snails,Strombus thersites,
snails,Chicoreus axicornis,
snails,Chicoreus cervicornis,
snails,Chicoreus ramosus,
snails,Conus leopardus,
snails,Conus pergrandis,
snails,Cymbiola pulchra,
snails,Melo amphora,
snails,Syrinx aruanus,
snails,Georissa palmerensis,
snails,Adclarkia cameroni,
snails,Adclarkia dawsonensis,boggomoss snail
snails,Adclarkia dulacca,
snails,Annabellia subglobosa,
snails,Bentosites hefferani,
snails,Billordia nicoletteae,
snails,Delinitesta gayndahensis,
snails,Dimidarion slatyeri,
snails,Excaliburopa greenvaleiana,
snails,Excaliburopa leroii,
snails,Gyraulus edgbastonensis,
snails,Jimbouria rodhobsoni,Jimbour black soil snail
snails,Lamprellia angulata,
snails,Lynfergusonia mundubbera,
snails,Pallidelix bennetti,
snails,Pallidelix chinchilla,
snails,Palmervillea elevata,
snails,Perioinsolita pokryszkoae,
snails,Sphaerospira mossmani,
snails,Steorra estherlilleyae,
snails,Steorra tomsoni,
snails,Steorra worsfoldi,
